,state,sat_part_17,sat_ebrw_17,sat_math_17,sat_total_17,sat_part_18,sat_ebrw_18,sat_math_18,sat_total_18,sat_part_19,sat_ebrw_19,sat_math_19,sat_total_19,act_part_17,act_eng_17,act_math_17,act_reading_17,act_science_17,act_composite_17,act_part_18,act_composite_18,act_part_19,act_composite_19,state_rank,hh_income_17,hh_income_18,hh_income_19,percapita_income,state_pop,no_of_households,pct_highschool,pct_bachelors,pct_adv_degree,pop_highschool,pop_bachelors,pop_adv_degree,statespending_perpupil,is_act_free,is_sat_free,is_act_required,is_sat_required
0,Maryland,0.69,536,524,1060,0.76,545,535,1080,0.82,535,523,1058,0.28,23.3,23.1,24.2,23.8,23.6,0.31,22.5,0.28,22.3,1,80776,83242,86738,43325,6177224,2226767,0.9039,0.4088,0.1908,3781706,1710230,798449,15574,False,False,False,False
1,DistrictofColumbia,1.0,482,468,950,0.92,497,480,977,0.94,495,480,975,0.32,24.4,23.5,24.9,23.5,24.2,0.32,23.6,0.32,23.5,–,82372,85203,92266,59808,689545,291570,0.9185,0.5967,0.3397,463977,301429,171604,18069,False,True,False,False
2,Delaware,1.0,503,492,996,1.0,505,492,998,1.0,499,486,985,0.18,24.1,23.4,24.8,23.6,24.1,0.17,23.8,0.13,24.1,16,62852,64805,70176,36858,989948,376239,0.9032,0.332,0.1366,620789,228199,93912,14335,False,False,False,True
3,Idaho,0.93,513,493,1005,1.0,508,493,1001,1.0,505,488,993,0.38,21.9,21.8,23.0,22.1,22.3,0.36,22.3,0.31,22.5,31,52225,55583,60999,29606,1839106,655859,0.9147,0.2875,0.0995,1071091,336655,116466,8141,False,True,False,False
4,Michigan,1.0,509,495,1005,1.0,511,499,1011,1.0,507,496,1003,0.29,24.1,23.7,24.5,23.8,24.1,0.22,24.2,0.19,24.4,32,54909,56697,59584,32892,10077331,3969880,0.9135,0.3003,0.1187,6298340,2070795,818110,11987,False,False,False,True
5,Florida,0.83,520,497,1017,0.56,550,549,1099,1.0,516,483,999,0.73,19.0,19.4,21.0,19.4,19.8,0.66,19.9,0.54,20.1,34,52594,55462,59227,32887,21538187,7905832,0.8841,0.307,0.1144,13689867,4753637,1770994,10098,False,False,False,False
6,Maine,0.95,513,499,1012,0.99,512,501,1013,0.99,512,502,1013,0.08,24.2,24.0,24.8,23.7,24.3,0.07,24.0,0.06,24.3,35,55277,55602,58924,34078,1362359,573618,0.9321,0.3319,0.1244,923838,328999,123277,13666,False,True,False,False
7,Texas,0.62,513,507,1020,0.66,520,512,1032,0.68,515,507,1022,0.45,19.5,20.7,21.1,20.9,20.7,0.45,20.7,0.39,20.5,22,59206,60629,64034,32267,29145505,9985126,0.8465,0.3077,0.1079,15890162,5776533,2025736,10314,False,False,False,False
8,Connecticut,1.0,530,512,1041,1.0,535,519,1053,1.0,529,516,1046,0.31,25.5,24.6,25.6,24.6,25.2,0.26,25.6,0.22,25.5,6,74168,76348,78833,45359,3605944,1377166,0.9071,0.3984,0.1784,2264581,994548,445382,17373,False,False,False,True
9,Georgia,0.61,535,515,1050,0.7,542,522,1064,0.71,538,519,1058,0.55,21.0,20.9,22.0,21.3,21.4,0.53,21.4,0.49,21.4,29,56183,58756,61980,32657,10711908,3852714,0.8791,0.3251,0.1259,6224197,2301568,891173,10893,False,False,False,False
